example_id,split,conversation_id,customer_message,prior_context,primary_intent,required_action,risk_flags,acceptable_response_actions,forbidden_claims,label_rationale,annotation_confidence
spotify_2637129,dev,thread_2637126,@SpotifyCares Forgot which E-Mail I used and forgot my passwort. Only know my User-Name and don't know how to get my E-Mail now.,,account_access,AUTO_HANDLE,possible_account_compromise,"What a useful, permissible reply should do",What the agent must not claim,nothing specific,medium
spotify_2986582,dev,thread_2986581,@115888 how does the $0.99 Cdn/mth promo work if I'm still on first month trial?,,account_access,ESCALATE,none,none_specific,none_specific,nothing specific just checking,medium
spotify_2752843,dev,thread_2752839,@SpotifyCares Here ya go https://t.co/fMI55xeEf1,"CUSTOMER: How did that get past the development stage? @115888 https://t.co/sSAiPVZLK9
BRAND: @770627 Hey there! Can you tell us what device, operating system, and Spotify version you're using? We'll check things out /CH
CUSTOMER: @SpotifyCares Holy shit didn't expect a response. 
Running Windows 10 with Spotify Ver 1.0.67.582.g19436fa3
BRAND: @770627 Thanks for the info! Can you send us a screenshot showing how your app completely looks like with the bar showing at the bottom part of the screen? We'll take a closer look /CH",playback_technical,ESCALATE,none,acknowledge screenshot and troubleshoot,none_specific,"user providing requested screenshot, safe to continue troubleshooting",high
spotify_2591019,dev,thread_2591018,@115888 get on ur shit and update for the iPhone X pls,,playback_technical,AUTO_HANDLE,none,"user providing requested screenshot, safe to continue troubleshooting",none_specific,"user providing requested screenshot, safe to continue troubleshooting",high
spotify_2633276,dev,thread_2633275,@115888 why did you take away the preview option when you hold down on a song?!,,billing_subscription,AUTO_HANDLE,none,"user providing requested screenshot, safe to continue troubleshooting",none_specific,"user providing requested screenshot, safe to continue troubleshooting",high
spotify_2629120,dev,thread_2629119,"@SpotifyCares I contacted you because my service kept getting shut down because someone else is supposedly using it, you locked down my account and your chat system booted me when I tried to upload am attachment as you requested. Contact me!",,playback_technical,ESCALATE,none,acknowledge screenshot and troubleshoot,none_specific,"ser providing requested screenshot, safe to continue troubleshooti",high
spotify_2812196,dev,thread_2812195,Hi @Spotifycares I pay to not listen to ads. Why are you all of a sudden serving me ads? @115888 https://t.co/DrOnw0kAF6,,billing_subscription,ESCALATE,none,"ser providing requested screenshot, safe to continue troubleshooti",none_specific,"ser providing requested screenshot, safe to continue troubleshooti",medium
spotify_2803528,dev,thread_2803526,"@115888 hey, i would like to know why you have removed ‘Up Your Alley’ from Joan Jett and The Blackhearts. i’d really appreciate if you could give me an answer or put it back. 
thank you in advance.",,billing_subscription,ESCALATE,none,"ser providing requested screenshot, safe to continue troubleshooting","ser providing requested screenshot, safe to continue troubleshooti","ser providing requested screenshot, safe to continue troubleshooti",medium
spotify_2596657,dev,thread_2596656,"@SpotifyCares Hello Spotify - i can log into my account and even edit, but I’m somehow locked out of managing my Family Plan account.",CUSTOMER: @SpotifyCares,playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
spotify_2523554,dev,thread_2523553,"@SpotifyCares  need help logging in, we are not getting reset link to any email we have. No way in",,account_access,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
spotify_2578844,dev,thread_2578843,@SpotifyCares my account says I’m paying for the Spotify student + Hulu but Hulu keeps sending a notification that it can’t verify my account. 😅😣,,playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup|1,high
spotify_2565879,dev,thread_2565877,"@117153 I’m a premium member and I can’t listen to offline music unless I download!!! Help pls why am I paying $$ to not get all the features. I’ve tried logging out, deleting the app &amp; everything else there could be..",,playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
spotify_2718120,dev,thread_2718119,@115888 All of my songs and albums have gone - 7 years added to that playlist 😭,,playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific\,safe technical followup,high
spotify_609677,dev,thread_2728382,@SpotifyCares Clearly I understand that your app can't be moved to the SD card. My point was that when I don't download the songs they are still downloading into your cache. So I have to clear your cache at least once a week because I run out of space on my phone,"CUSTOMER: hey @115888  youre killin me w not giving me the option to move your mobile app to my SD card.

https://t.co/JFJ6vBDwS9
BRAND: @264942 Hi there! We're afraid it's not possible to move the app to an SD card, but you can save your downloaded music to it. Hope this clears things up. Let us know if you have any other questions /NY",playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
spotify_2807658,dev,thread_2807656,"@SpotifyCares Yeah I read it. Because people ""didn't use it"" silly. If the devs actually read the comments, people aren't happy about it.","CUSTOMER: @115888 Really upset that you took out song previews. How am I supposed to know if im going to like the song or not? Your developers literally ruined your own app.
BRAND: @783033 Hey! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /NQ",playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
spotify_2558835,dev,thread_2558834,Put the take care album by drake back on Spotify plz @SpotifyCares,,playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
